Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerVelocityScore,IncomeGrowthPotential,ExperienceUtilization,CareerCluster,PromotionGapRiskScore,PromotionGapRiskLevel
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,0.0,0.6666665555555741,0.0,0.8333331944444675,0.33333327777778704,856.1428571428571,0.19512194646044034,0,4,Medium
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0.09999999000000101,0.699999930000007,0.299999970000003,0.699999930000007,0.19999998000000202,466.3636363636364,0.20408162848813005,1,3,Low
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0,3000000.0,0.0,1000000.0,2090.0,0.18918918407596802,2,1,Low
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0.3749999531250059,0.8749998906250137,0.3749999531250059,0.0,0.12499998437500197,323.22222222222223,0.2424242350780535,0,6,Medium
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0.99999950000025,0.99999950000025,1.499999250000375,0.99999950000025,0.499999750000125,1156.0,0.22222221399176983,0,6,Medium
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0.4285713673469475,0.9999998571428775,0.285714244897965,0.857142734693895,0.1428571224489825,383.5,0.24999999218750027,0,6,Medium
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.0,0.0,2.9999970000030003,0.0,0.9999990000010001,1335.0,0.20338982706118938,0,1,Low
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0.0,0.0,1.9999980000020001,0.0,0.9999990000010001,1346.5,0.033333332222222255,0,1,Low
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0.11111109876543349,0.7777776913580343,0.22222219753086697,0.8888887901234679,0.33333329629630043,952.6,0.26315788781163457,1,3,Low
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0.9999998571428775,0.9999998571428775,0.4285713673469475,0.9999998571428775,0.285714244897965,654.625,0.4722222091049387,1,6,Medium
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0.0,0.799999840000032,0.99999980000004,0.599999880000024,0.199999960000008,404.3333333333333,0.1714285665306124,0,4,Medium
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0.0,0.5555554938271674,0.33333329629630043,0.8888887901234679,0.22222219753086697,419.3,0.3448275743162905,0,2,Low
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0.799999840000032,0.399999920000016,0.199999960000008,0.599999880000024,0.199999960000008,485.1666666666667,0.1612903173777317,0,6,Medium
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0.499999750000125,0.99999950000025,0.99999950000025,0.99999950000025,0.499999750000125,887.0,0.08823529152249143,0,5,Medium
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0.0,0.49999987500003124,0.9999997500000625,0.7499998125000469,0.24999993750001562,405.6,0.21428570663265334,0,1,Low
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0.7999999200000081,0.8999999100000091,0.09999999000000101,0.7999999200000081,0.299999970000003,907.2727272727273,0.3448275743162905,1,8,High
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0.0,0.33333327777778704,0.8333331944444675,0.8333331944444675,0.16666663888889352,471.14285714285717,0.21874999316406274,0,2,Low
